phi_deg,psi_deg,s_mm,v_mmps,a_mmps2
168,12.6347969576348,233.219161664379,-319.948921021971,1323.35119231629
168.1,12.6759391405465,233.006156466816,-319.062139477008,1336.94747803747
168.2,12.7169750649355,232.79374547841,-318.166324384588,1350.45127077744
168.3,12.757903604197,232.58193470097,-317.261537782638,1363.8614484422
168.4,12.7987236383502,232.370730094699,-316.347842453332,1377.17690099113
168.5,12.8394340541071,232.160137577699,-315.42530191465,1390.39652895111
168.6,12.880033744942,231.95016302548,-314.49398041473,1403.51924272191
168.7,12.9205216111588,231.740812270479,-313.553942924354,1416.54396424686
168.8,12.9608965599594,231.532091101581,-312.605255129068,1429.46962736445
168.9,13.0011575055111,231.32400526364,-311.647983421202,1442.29517784929
169,13.0413033690133,231.116560457019,-310.682194891936,1455.01957235406
169.1,13.0813330787642,230.909762337118,-309.70795732473,1467.64177978636
169.2,13.1212455702271,230.703616513919,-308.725339185554,1480.1607816855
169.3,13.1610397860957,230.498128551537,-307.734409615815,1492.57557141942
169.4,13.2007146763595,230.293303967765,-306.735238423661,1504.88515565791
169.5,13.2402691983686,230.089148233639,-305.727896074938,1517.08855331637
169.6,13.2797023168981,229.885666772998,-304.712453685906,1529.18479635727
169.7,13.3190130042116,229.682864962058,-303.688983013129,1541.17293061856
169.8,13.3582002401251,229.480748128981,-302.657556445081,1553.0520139299
169.9,13.3972630120694,229.279321553464,-301.618246994555,1564.82111834132
170,13.436200315153,229.078590466321,-300.571128287293,1576.47933034289
170.1,13.4750111522238,228.878560049081,-299.516274554098,1588.02574911329
170.2,13.5136945339309,228.679235433583,-298.453760621809,1599.45948809766
170.3,13.5522494787852,228.480621701585,-297.383661903301,1610.77967482681
170.4,13.5906750132205,228.282723884378,-296.306054388706,1621.98545157153
170.5,13.6289701716528,228.0855469624,-295.221014634539,1633.07597505267
170.6,13.6671339965408,227.889095864866,-294.128619755302,1644.05041597038
170.7,13.7051655384441,227.693375469393,-293.028947413246,1654.90796001782
170.8,13.7430638560823,227.498390601648,-291.922075808612,1665.64780742009
170.9,13.780828016393,227.304146034982,-290.808083670019,1676.26917415063
171,13.818457094589,227.110646490088,-289.687050243078,1686.77129080344
171.1,13.8559501742157,226.917896634658,-288.559055282281,1697.15340242577
171.2,13.8933063472077,226.725901083045,-287.424179039844,1707.41477062851
171.3,13.9305247139444,226.534664395938,-286.282502254776,1717.55467179917
171.4,13.9676043833059,226.344191080039,-285.134106144111,1727.57239752012
171.5,14.0045444727278,226.154485587746,-283.979072391416,1737.4672554098
171.6,14.0413441082555,225.96555231685,-282.817483136898,1747.23856883905
171.7,14.0780024245985,225.77739561023,-281.649420966297,1756.88567678615
171.8,14.1145185651833,225.590019755561,-280.474968901183,1766.40793332487
